comid,known_baseflow,qout_median,qout_max,rp2,rp5,rp10,rp25,rp50,rp100,qout_max_premium,rp100_premium
21983937,1.378749969182536,0.7845833157965293,25.990416085735585,9.334166458031783,16.841648174284458,21.04626764552128,24.603350899347603,25.990416085735585,25.990416085735585,38.98562412860338,38.98562412860338
2056902,19.71166622607658,19.71166622607658,799.6158154605267,179.24249599361792,331.2404454947497,428.44502665539125,670.8405465997479,799.6158154605267,799.6158154605267,1199.42372319079,1199.42372319079
24470214,0.0,0.0,0.1995833288722982,0.009999999776482582,0.027826086334560234,0.08999999798834324,0.10865941786112776,0.1995833288722982,0.1995833288722982,0.2993749933084473,0.2993749933084473
17154762,11.37791641235041,44.15145734647133,518.1312384188641,176.9766627109299,354.4657891785213,378.3861328467585,504.02205395162025,518.1312384188641,518.1312384188641,777.1968576282961,777.1968576282961
21983947,0.7599999830126762,0.7599999830126762,24.214582792095218,8.565416475214684,15.524474290682111,19.353332900752623,23.029148035983056,24.214582792095218,24.214582792095218,36.32187418814283,36.32187418814283
10113744,9.65770811746673,9.65770811746673,994.8416444302226,238.59082800041264,408.39053435002086,761.9017764484287,990.241046706967,994.8416444302226,994.8416444302226,1492.262466645334,1492.262466645334
10113746,3.0729165979816266,9.693958116656479,996.0420610700579,238.89124466036446,406.7976177189587,762.6788959962761,993.8846154661067,996.0420610700579,996.0420610700579,1494.0630916050868,1494.0630916050868
10113748,9.859791446283149,9.859791446283149,996.6795610558087,239.25207798563255,404.653106897327,764.5529901572854,979.0825505795673,996.6795610558087,996.6795610558087,1495.019341583713,1495.019341583713
21983959,0.744583316690599,0.744583316690599,23.96999946422875,8.469583144023394,15.3082424114573,19.14635826769771,22.760977752122056,23.96999946422875,23.96999946422875,35.954999196343124,35.954999196343124
4731609,841.6731061871396,841.6731061871396,15254.045075712182,3961.08824479611,5764.7416465103,7703.478287958766,12516.05182169371,15254.045075712182,15254.045075712182,22881.067613568273,22881.067613568273
4731611,841.6687311872374,841.6687311872374,15280.87924177906,3961.898661444662,5766.280160968664,7696.32392217665,12534.919683590822,15280.87924177906,15280.87924177906,22921.318862668588,22921.318862668588
19596010,13.164583039081966,9.141041462348465,985.1028946479006,331.9887425794732,568.6780669991992,699.0277742305839,876.6386579418305,985.1028946479006,985.1028946479006,1477.654341971851,1477.654341971851
