comid,known_baseflow,qout_median,qout_max,rp2,rp5,rp10,rp25,rp50,rp100,qout_max_premium,rp100_premium
770561898,0.6819999814033508,0.31,703.57,134.824,277.471,393.586,559.883,695.379,838.992,1055.355010986328,1258.4879999999998
760739706,16.808000564575195,26.28,1056.42,344.126,523.522,653.245,828.469,966.756,1111.397,1584.6300659179688,1667.0955
710821756,6.938000202178955,20.23,1804.41,508.024,871.098,1149.102,1538.3,1853.563,2189.037,2706.6150512695312,3283.5554999999995
760598399,0.0,0.3,525.1,133.182,232.742,304.373,398.289,469.505,541.093,787.6499633789062,811.6395
720207749,63.92,63.92,3698.63,860.082,1320.997,1630.707,2020.831,2308.544,2592.807,5547.94482421875,3889.2105
760563592,4.658999919891357,2.15,517.49,135.76,207.412,265.629,352.886,428.791,514.882,776.2349853515625,772.3229999999999
760471441,0.5410000085830688,1.33,250.42,77.042,128.439,161.926,202.116,230.154,256.474,375.629997253418,384.711
760536982,12.66100025177002,1.89,197.94,50.491,81.769,108.685,151.022,189.479,234.652,296.9100036621094,351.97799999999995
750112663,1.41,1.41,433.42,71.107,118.999,157.723,215.059,264.164,318.994,650.1300201416016,478.491
760713121,3.368000030517578,10.36,349.7,118.523,182.258,228.752,291.977,342.159,394.878,524.5500183105469,592.317
750108579,184.8249969482422,57.93,1727.48,486.123,700.374,856.859,1071.297,1243.298,1425.924,2591.219970703125,2138.886
760623028,19.31,19.31,1273.13,395.087,639.492,806.294,1017.369,1173.024,1326.421,1909.6950073242188,1989.6315
760596405,1891.0269775390625,1051.65,7256.88,3797.425,5098.988,5919.057,6913.894,7628.499,8323.052,10885.31982421875,12484.578
750143417,0.32,0.32,230.04,66.129,100.179,122.497,150.026,169.941,189.315,345.0599899291992,283.97249999999997
740265917,37.55500030517578,17.14,369.34,81.65,133.448,177.282,245.153,305.873,376.272,554.0099945068359,564.408
760596414,370.4530029296875,109.24,2319.47,737.587,1068.157,1279.92,1537.71,1722.513,1901.296,3479.2049560546875,2851.944
760551363,27.82699966430664,8.04,604.96,195.046,315.277,395.808,495.888,568.396,638.799,907.4400329589844,958.1985
720205765,19.621000289916992,63.74,3814.9,876.463,1344.114,1658.178,2053.696,2345.356,2633.513,5722.349853515625,3950.2695
750143442,432.48,432.48,11764.83,3067.744,4348.339,5275.851,6539.077,7547.172,8613.467,17647.2451171875,12920.2005
750049256,2.316999912261963,0.87,156.66,53.176,78.949,96.316,118.38,134.829,151.252,234.9900054931641,226.878
740141033,34.696998596191406,38.87,1118.18,382.761,547.943,664.565,819.795,941.012,1066.93,1677.2700805664062,1600.395
750278635,126.49099731445312,242.85,11191.46,2710.151,4451.271,5918.218,8179.508,10193.661,12519.894,16787.18994140625,18779.841
740098036,4.57,4.57,143.36,51.238,75.466,93.201,117.509,136.991,157.652,215.04000091552732,236.478
740179957,3.2699999809265137,3.28,497.85,57.474,102.053,145.414,221.403,297.592,394.76,746.7750091552734,592.14
750161916,5.99,5.99,781.59,191.852,303.562,394.753,531.725,650.973,786.206,1172.3850402832031,1179.309
