comid,known_baseflow,qout_median,qout_max,rp2,rp5,rp10,rp25,rp50,rp100,qout_max_premium,rp100_premium,q_ep_10,q_ep_20,q_ep_30,q_ep_40,q_ep_50,q_ep_60,q_ep_70,q_ep_80,q_ep_90,q_ep_100
917757,18.756999969482425,8.04,307.94,138.977,179.559,202.96,229.36,247.107,263.467,461.9100036621094,395.2005,38.90999984741211,23.1200008392334,15.479999542236328,10.829999923706056,8.010000228881836,6.159999847412109,4.929999828338623,3.990000009536743,3.140000104904175,0.0099999997764825
6978924,1.95,1.95,531.65,102.017,167.187,214.571,278.174,327.808,379.083,797.4750366210938,568.6245,9.760000228881836,5.579999923706055,3.75,2.680000066757202,1.940000057220459,1.4700000286102295,1.0399999618530271,0.6299999952316284,0.3700000047683716,0.0
1861942,6292.3701171875,961.07,11994.89,5098.876,7401.713,8877.688,10674.59,11962.582,13208.354,17992.33447265625,19812.531,3245.054052734374,2311.610107421875,1692.3080566406245,1257.5440429687496,959.0599975585938,746.6599731445312,573.9400024414062,423.6400146484375,293.2699890136719,51.75
3561874,0.0070000002160668,0.0,32.25,2.329,4.831,7.882,14.501,22.595,34.843,48.375,52.264500000000005,0.0599999986588954,0.0199999995529651,0.0099999997764825,0.0099999997764825,0.0,0.0,0.0,0.0,0.0,0.0
7592437,1.25,2.27,539.11,151.92,244.988,310.67,396.593,462.071,528.421,808.6649780273438,792.6315000000001,14.390000343322754,8.3100004196167,5.119999885559082,3.2200000286102295,2.2699999809265137,1.590000033378601,1.090000033378601,0.7099999785423279,0.4199999868869781,0.0099999997764825
4655348,1.0099999904632568,2.61,577.85,130.727,196.172,245.729,315.606,373.071,435.295,866.7749633789062,652.9425,15.90999984741211,9.869999885559082,6.409999847412109,4.090000152587891,2.5999999046325684,1.7400000095367432,1.149999976158142,0.75,0.4699999988079071,0.0199999995529651
14682302,1.5049999952316284,0.9,581.1,108.974,213.551,296.83,414.79,510.311,611.28,871.6499633789062,916.92,6.21999979019165,3.4800000190734863,2.049999952316284,1.4199999570846558,0.9100000262260436,0.5699999928474426,0.3300000131130218,0.1400000005960464,0.0299999993294477,0.0
5215103,6.85,6.85,466.02,84.313,129.671,166.437,221.41,269.115,323.105,699.0299835205078,484.6575,25.030000686645508,17.459999084472656,12.770000457763672,9.15999984741211,6.829999923706055,5.119999885559082,3.809999942779541,2.8499999046325684,2.0399999618530273,0.5799999833106995
20480358,19.38,19.38,2487.13,410.067,746.048,1047.259,1534.562,1986.647,2525.484,3730.69482421875,3788.226,99.05999755859376,56.36000061035156,37.56999969482422,26.329999923706055,19.34000015258789,14.170000076293944,9.84000015258789,6.25,2.9600000381469727,0.2599999904632568
7015937,22.48699951171875,6.11,626.95,193.762,321.028,405.951,510.502,585.366,657.244,940.4250183105468,985.866,26.229999542236328,16.489999771118164,11.010000228881836,7.989999771118164,6.090000152587891,4.849999904632568,3.4800000190734863,2.4100000858306885,1.3799999952316284,0.0
1268386,35.25699996948242,2.62,1229.09,384.735,640.496,823.897,1066.065,1251.799,1440.758,1843.6349487304688,2161.137,30.739999771118164,12.06999969482422,6.579999923706055,4.099999904632568,2.609999895095825,1.6399999856948853,0.9900000095367432,0.5,0.1700000017881393,0.0
18540840,277.6679992675781,203.2,11083.19,2613.867,4333.43,5779.282,8002.102,9976.135,12249.719,16624.78564453125,18374.5785,1073.0,669.75,448.80999755859375,294.8900146484375,203.13999938964844,137.99000549316406,93.38999938964844,63.630001068115234,41.060001373291016,11.350000381469728
4947359,24.04,24.04,905.95,218.687,343.224,432.333,550.995,643.186,738.246,1358.9250183105469,1107.369,68.1500015258789,47.84000015258789,36.52000045776367,29.290000915527344,24.0,19.559999465942383,15.520000457763672,12.210000038146973,8.550000190734863,1.5499999523162842
17217754,0.2300000041723251,0.18,338.15,74.985,131.853,174.151,231.412,276.2,322.411,507.22499084472656,483.6165,1.3799999952316284,0.6600000262260437,0.4000000059604645,0.2599999904632568,0.1800000071525573,0.1199999973177909,0.0700000002980232,0.050000000745058,0.0199999995529651,0.0
3885874,25.642000198364254,40.53,1289.97,443.927,671.588,827.784,1028.95,1180.7,1333.592,1934.9549560546875,2000.388,156.52999877929688,107.58000183105467,77.11000061035156,55.040000915527344,40.400001525878906,30.270000457763672,23.030000686645508,17.670000076293945,12.670000076293944,1.840000033378601
6588281,60.733001708984375,10.66,603.95,246.256,369.923,438.796,511.428,556.397,594.769,905.9250183105468,892.1535,51.84000015258789,30.549999237060547,20.93000030517578,14.649999618530272,10.619999885559082,7.690000057220459,5.800000190734863,4.099999904632568,2.0,0.0199999995529651
